Date,Abs Pres (psi) c:1 2,Temp (°F) c:2,Coupler Detached,Coupler Attached,Host Connected,Stopped,End Of File
7/21/2016 3:45,14.8604,76.354,,,,,
7/21/2016 4:00,14.8556,76.354,,,,,
7/21/2016 4:15,14.8533,76.354,,,,,
7/21/2016 4:30,14.8556,76.354,,,,,
7/21/2016 4:45,14.8533,76.354,,,,,
7/21/2016 5:00,14.851,76.354,,,,,
7/21/2016 5:15,14.8533,76.354,,,,,
7/21/2016 5:30,14.8533,76.354,,,,,
7/21/2016 5:45,14.8533,76.354,,,,,
7/21/2016 6:00,14.858,76.354,,,,,
7/21/2016 6:15,14.858,76.354,,,,,
7/21/2016 6:30,14.8604,76.354,,,,,
7/21/2016 6:45,14.8597,76.181,,,,,
7/21/2016 7:00,14.8597,76.181,,,,,
7/21/2016 7:15,14.862,76.181,,,,,
7/21/2016 7:30,14.862,76.181,,,,,
7/21/2016 7:45,14.8645,76.181,,,,,
7/21/2016 8:00,14.8645,76.181,,,,,
7/21/2016 8:15,14.8691,76.181,,,,,
7/21/2016 8:30,14.8691,76.181,,,,,
7/21/2016 8:45,14.8697,76.354,,,,,
7/21/2016 9:00,14.8697,76.354,,,,,
7/21/2016 9:15,14.8674,76.354,,,,,
7/21/2016 9:30,14.868,76.528,,,,,
7/21/2016 9:45,14.868,76.528,,,,,
7/21/2016 10:00,14.8662,76.703,,,,,
7/21/2016 10:15,14.8691,76.876,,,,,
7/21/2016 10:30,14.8668,76.876,,,,,
7/21/2016 10:45,14.8674,77.05,,,,,
7/21/2016 11:00,14.8627,77.05,,,,,
7/21/2016 11:15,14.8651,77.05,,,,,
7/21/2016 11:30,14.861,77.225,,,,,
7/21/2016 11:45,14.8587,77.225,,,,,
7/21/2016 12:00,14.8546,77.4,,,,,
7/21/2016 12:15,14.8488,77.749,,,,,
7/21/2016 12:30,14.8471,77.923,,,,,
7/21/2016 12:45,14.8448,77.923,,,,,
7/21/2016 13:00,14.8384,78.098,,,,,
7/21/2016 13:15,14.8361,78.098,,,,,
7/21/2016 13:30,14.8297,78.274,,,,,
7/21/2016 13:45,14.8279,78.449,,,,,
7/21/2016 14:00,14.8233,78.449,,,,,
7/21/2016 14:15,14.8216,78.624,,,,,
7/21/2016 14:30,14.8216,78.624,,,,,
7/21/2016 14:45,14.8192,78.624,,,,,
7/21/2016 15:00,14.8146,78.624,,,,,
7/21/2016 15:15,14.8169,78.624,,,,,
7/21/2016 15:30,14.8146,78.624,,,,,
7/21/2016 15:45,14.8146,78.624,,,,,
7/21/2016 16:00,14.8123,78.624,,,,,
7/21/2016 16:15,14.8169,78.624,,,,,
7/21/2016 16:30,14.8117,78.449,,,,,
7/21/2016 16:45,14.814,78.449,,,,,
7/21/2016 17:00,14.8111,78.274,,,,,
7/21/2016 17:15,14.8181,78.274,,,,,
7/21/2016 17:30,14.8221,78.098,,,,,
7/21/2016 17:45,14.8221,78.098,,,,,
7/21/2016 18:00,14.8216,77.923,,,,,
7/21/2016 18:15,14.8239,77.923,,,,,
7/21/2016 18:30,14.8231,77.749,,,,,
7/21/2016 18:45,14.8279,77.749,,,,,
7/21/2016 19:00,14.8272,77.574,,,,,
7/21/2016 19:15,14.8297,77.574,,,,,
7/21/2016 19:30,14.8343,77.574,,,,,
7/21/2016 19:45,14.8366,77.574,,,,,
7/21/2016 20:00,14.8361,77.4,,,,,
7/21/2016 20:15,14.8407,77.4,,,,,
7/21/2016 20:30,14.843,77.4,,,,,
7/21/2016 20:45,14.8424,77.225,,,,,
7/21/2016 21:00,14.8448,77.225,,,,,
7/21/2016 21:15,14.8471,77.225,,,,,
7/21/2016 21:30,14.8494,77.225,,,,,
7/21/2016 21:45,14.8465,77.05,,,,,
7/21/2016 22:00,14.8511,77.05,,,,,
7/21/2016 22:15,14.8511,77.05,,,,,
7/21/2016 22:30,14.8488,77.05,,,,,
7/21/2016 22:45,14.8488,77.05,,,,,
7/21/2016 23:00,14.8458,76.876,,,,,
7/21/2016 23:15,14.8458,76.876,,,,,
7/21/2016 23:30,14.8458,76.876,,,,,
7/21/2016 23:45,14.8458,76.876,,,,,
7/22/2016 0:00,14.8435,76.876,,,,,
7/22/2016 0:15,14.8435,76.876,,,,,
7/22/2016 0:30,14.8388,76.876,,,,,
7/22/2016 0:45,14.8382,76.703,,,,,
7/22/2016 1:00,14.8359,76.703,,,,,
7/22/2016 1:15,14.8359,76.703,,,,,
7/22/2016 1:30,14.8336,76.703,,,,,
7/22/2016 1:45,14.8336,76.703,,,,,
7/22/2016 2:00,14.8313,76.703,,,,,
7/22/2016 2:15,14.8289,76.703,,,,,
7/22/2016 2:30,14.8266,76.703,,,,,
7/22/2016 2:45,14.822,76.703,,,,,
7/22/2016 3:00,14.822,76.703,,,,,
7/22/2016 3:15,14.8172,76.703,,,,,
7/22/2016 3:30,14.8197,76.703,,,,,
7/22/2016 3:45,14.8166,76.528,,,,,
7/22/2016 4:00,14.8166,76.528,,,,,
7/22/2016 4:15,14.8166,76.528,,,,,
7/22/2016 4:30,14.8143,76.528,,,,,
7/22/2016 4:45,14.8143,76.528,,,,,
7/22/2016 5:00,14.8166,76.528,,,,,
7/22/2016 5:15,14.8184,76.354,,,,,
7/22/2016 5:30,14.816,76.354,,,,,
7/22/2016 5:45,14.8184,76.354,,,,,
7/22/2016 6:00,14.8207,76.354,,,,,
7/22/2016 6:15,14.8184,76.354,,,,,
7/22/2016 6:30,14.8253,76.354,,,,,
7/22/2016 6:45,14.8278,76.354,,,,,
7/22/2016 7:00,14.8294,76.181,,,,,
7/22/2016 7:15,14.8271,76.181,,,,,
7/22/2016 7:30,14.8318,76.181,,,,,
7/22/2016 7:45,14.8271,76.181,,,,,
7/22/2016 8:00,14.8318,76.181,,,,,
7/22/2016 8:15,14.8371,76.354,,,,,
7/22/2016 8:30,14.8394,76.354,,,,,
7/22/2016 8:45,14.8417,76.354,,,,,
7/22/2016 9:00,14.8464,76.354,,,,,
7/22/2016 9:15,14.8493,76.528,,,,,
7/22/2016 9:30,14.8493,76.528,,,,,
7/22/2016 9:45,14.8469,76.528,,,,,
7/22/2016 10:00,14.8498,76.703,,,,,
7/22/2016 10:15,14.8506,76.876,,,,,
7/22/2016 10:30,14.8511,77.05,,,,,
7/22/2016 10:45,14.8494,77.225,,,,,
7/22/2016 11:00,14.8453,77.4,,,,,
7/22/2016 11:15,14.8453,77.4,,,,,
7/22/2016 11:30,14.8407,77.4,,,,,
7/22/2016 11:45,14.8413,77.574,,,,,
7/22/2016 12:00,14.8436,77.574,,,,,
7/22/2016 12:15,14.8372,77.749,,,,,
7/22/2016 12:30,14.8349,77.749,,,,,
7/22/2016 12:45,14.8349,77.749,,,,,
7/22/2016 13:00,14.8308,77.923,,,,,
7/22/2016 13:15,14.8285,77.923,,,,,
7/22/2016 13:30,14.8268,78.098,,,,,
7/22/2016 13:45,14.8268,78.098,,,,,
7/22/2016 14:00,14.8221,78.098,,,,,
7/22/2016 14:15,14.8181,78.274,,,,,
7/22/2016 14:30,14.814,78.449,,,,,
7/22/2016 14:45,14.8094,78.449,,,,,
7/22/2016 15:00,14.8017,78.274,,,,,
7/22/2016 15:15,14.804,78.274,,,,,
7/22/2016 15:30,14.8017,78.274,,,,,
7/22/2016 15:45,14.7994,78.274,,,,,
