Date/Time,Abs Pres (psi) c:1 2,Temp (°F) c:2,Coupler Detached,Coupler Attached,Host Connected,End Of File
4/14/2016 21:45,15.0767,78.274,,,,
4/14/2016 22:00,15.073,78.449,,,,
4/14/2016 22:15,15.0687,78.449,,,,
4/14/2016 22:30,15.0645,78.449,,,,
4/14/2016 22:45,15.0601,78.449,,,,
4/14/2016 23:00,15.0559,78.449,,,,
4/14/2016 23:15,15.0452,78.449,,,,
4/14/2016 23:30,15.0474,78.449,,,,
4/14/2016 23:45,15.0388,78.449,,,,
4/15/2016 0:00,15.0414,78.624,,,,
4/15/2016 0:15,15.0287,78.624,,,,
4/15/2016 0:30,15.0243,78.624,,,,
4/15/2016 0:45,15.0136,78.624,,,,
4/15/2016 1:00,15.005,78.624,,,,
4/15/2016 1:15,15.005,78.624,,,,
4/15/2016 1:30,14.9986,78.624,,,,
4/15/2016 1:45,15.0008,78.624,,,,
4/15/2016 2:00,14.9981,78.449,,,,
4/15/2016 2:15,14.9981,78.449,,,,
4/15/2016 2:30,14.9831,78.449,,,,
4/15/2016 2:45,14.9831,78.449,,,,
4/15/2016 3:00,14.9809,78.449,,,,
4/15/2016 3:15,14.9746,78.449,,,,
4/15/2016 3:30,14.9746,78.449,,,,
4/15/2016 3:45,15.0002,78.449,,,,
4/15/2016 4:00,15.0088,78.449,,,,
4/15/2016 4:15,15.0323,78.449,,,,
4/15/2016 4:30,15.058,78.449,,,,
4/15/2016 4:45,15.0773,78.449,,,,
4/15/2016 5:00,15.0767,78.274,,,,
4/15/2016 5:15,15.081,78.274,,,,
4/15/2016 5:30,15.1003,78.274,,,,
4/15/2016 5:45,15.1131,78.274,,,,
4/15/2016 6:00,15.1216,78.274,,,,
4/15/2016 6:15,15.126,78.274,,,,
4/15/2016 6:30,15.126,78.274,,,,
4/15/2016 6:45,15.1244,78.449,,,,
4/15/2016 7:00,15.1286,78.449,,,,
4/15/2016 7:15,15.1329,78.449,,,,
4/15/2016 7:30,15.12,78.449,,,,
4/15/2016 7:45,15.1115,78.449,,,,
4/15/2016 8:00,15.1179,78.449,,,,
4/15/2016 8:15,15.1007,78.449,,,,
4/15/2016 8:30,15.1029,78.449,,,,
4/15/2016 8:45,15.0944,78.449,,,,
4/15/2016 9:00,15.0902,78.449,,,,
4/15/2016 9:15,15.0794,78.449,,,,
4/15/2016 9:30,15.0778,78.624,,,,
4/15/2016 9:45,15.0757,78.624,,,,
4/15/2016 10:00,15.0735,78.624,,,,
4/15/2016 10:15,15.0671,78.624,,,,
4/15/2016 10:30,15.0564,78.624,,,,
4/15/2016 10:45,15.0462,78.8,,,,
4/15/2016 11:00,15.0398,78.8,,,,
4/15/2016 11:15,15.0377,78.8,,,,
4/15/2016 11:30,15.0291,78.8,,,,
4/15/2016 11:45,15.0163,78.8,,,,
4/15/2016 12:00,15.01,78.8,,,,
4/15/2016 12:15,15.012,78.8,,,,
4/15/2016 12:30,15.0084,78.975,,,,
